Order_ID,Date,Region,Category,Product,Units_Sold,Unit_Price,Discount_Pct,Revenue,Profit,Channel
O000075,2025-10-12,South,Clothing,Jeans,6,59.56,22.7,276.32,71.72,Online
O000076,2023-04-18,East,Home,Cookware,9,100.32,22.7,698.04,210.6,Store
O000077,2024-11-03,West,Beauty,Skincare,13,33.96,9.1,401.19,86.05,Store
O000078,2025-10-12,East,Grocery,Milk,15,34.48,3.9,496.82,121.83,Wholesale
O000079,2023-07-31,South,Grocery,Milk,14,40.71,6.1,535.15,109.07,Store
O000080,2025-12-24,South,Grocery,Milk,7,38.37,24.6,202.5,42.87,Online
O000081,2023-02-11,West,Grocery,Milk,3,30.65,9.1,83.61,21.3,Store
O000082,2024-02-04,North,Grocery,Milk,13,36.68,12.0,419.72,85.49,Store
O000083,2025-12-21,South,Grocery,Milk,11,20.21,4.9,211.42,55.13,Wholesale
O000084,2023-08-27,South,Grocery,Milk,15,22.02,17.9,271.12,39.92,Store
O000085,2024-01-26,West,Grocery,Milk,9,14.07,13.4,109.67,23.24,Store
O000086,2023-10-21,South,Electronics,Headphones,11,15.7,2.0,169.22,50.04,Online
O000087,2024-07-13,East,Electronics,Headphones,7,124.71,6.4,817.36,194.97,Store
O000088,2025-03-28,North,Beauty,Skincare,15,88.15,6.6,1234.93,274.85,Online
O000089,2025-03-10,South,Electronics,Headphones,5,20.67,5.6,97.58,25.65,Wholesale
O000090,2024-09-07,West,Home,Cookware,5,103.54,12.8,451.33,122.56,Wholesale
O000091,2023-02-17,South,Grocery,Milk,4,54.85,5.8,206.68,49.37,Store
O000092,2024-07-05,East,Electronics,Headphones,4,74.3,0.4,296.12,79.89,Store
O000093,2025-12-07,East,Clothing,Jeans,6,51.37,15.0,262.1,67.02,Online
O000094,2023-04-11,South,Clothing,Jeans,3,30.09,23.8,68.75,18.18,Wholesale
O000095,2024-09-09,West,Beauty,Skincare,11,37.05,9.8,367.45,69.38,Store
O000096,2023-08-05,South,Electronics,Headphones,4,35.77,9.8,129.06,17.04,Store
O000097,2024-08-16,East,Grocery,Milk,2,37.6,16.4,62.89,12.08,Store
O000098,2024-06-02,North,Beauty,Skincare,5,27.1,23.1,104.25,15.18,Wholesale
O000099,2025-01-15,West,Home,Cookware,2,16.04,12.2,28.18,3.62,Online
O000100,2024-07-01,East,Grocery,Milk,6,18.43,7.1,102.69,19.24,Online
O000101,2024-06-03,South,Grocery,Milk,5,80.44,21.9,314.23,62.11,Store
O000102,2023-07-07,West,Clothing,Jeans,10,16.78,3.3,162.29,51.05,Online
O000103,2024-06-02,South,Home,Cookware,13,41.94,7.4,504.85,152.31,Online
O000104,2025-01-15,South,Grocery,Milk,6,57.47,17.1,285.9,82.21,Online
O000105,2025-07-18,North,Home,Cookware,15,26.13,12.0,344.96,55.16,Online
O000106,2025-06-08,South,Home,Cookware,15,48.91,15.0,623.35,90.25,Wholesale
O000107,2024-07-11,East,Grocery,Milk,7,48.08,23.3,258.29,46.07,Wholesale
O000108,2025-04-26,South,Clothing,Jeans,1,29.4,16.9,24.43,7.61,Wholesale
O000109,2025-02-01,West,Grocery,Milk,15,63.08,6.1,888.3,224.55,Online
O000110,2023-04-19,East,Grocery,Milk,1,27.71,24.4,20.96,3.44,Store
O000111,2025-08-30,South,Home,Cookware,7,81.95,23.3,439.72,72.94,Online
O000112,2025-01-15,South,Grocery,Milk,11,58.1,2.6,622.78,107.78,Wholesale
O000113,2025-05-22,North,Clothing,Jeans,1,34.13,4.3,32.67,10.05,Online
O000114,2025-04-06,West,Beauty,Skincare,3,41.85,1.1,124.12,33.77,Store
O000115,2025-09-21,East,Clothing,Jeans,9,88.35,12.1,698.73,162.14,Wholesale
O000116,2024-04-22,South,Grocery,Milk,4,21.52,13.7,74.26,14.23,Store
O000117,2023-03-10,South,Clothing,Jeans,7,141.36,16.9,822.64,180.91,Online
O000118,2023-05-04,East,Electronics,Headphones,11,21.23,8.3,214.24,43.78,Store
O000119,2023-01-11,East,Home,Cookware,4,38.53,17.8,126.68,17.41,Online
O000120,2023-02-02,North,Grocery,Milk,5,52.53,10.5,235.08,49.14,Online
O000121,2023-12-05,West,Clothing,Jeans,12,17.53,17.7,173.11,35.63,Online
O000122,2025-08-04,West,Home,Cookware,7,23.36,17.9,134.27,18.52,Store
O000123,2024-08-28,East,Home,Cookware,13,113.63,12.7,1289.34,387.08,Online
O000124,2025-11-08,East,Electronics,Headphones,9,54.51,5.3,464.66,74.61,Online
O000125,2025-09-03,East,Home,Cookware,3,13.49,25.0,30.36,6.8,Store
O000126,2024-03-01,West,Grocery,Milk,15,26.05,14.7,333.14,99.65,Store
O000127,2025-03-19,West,Clothing,Jeans,4,51.08,21.7,160.05,22.38,Online
O000128,2024-01-03,West,Clothing,Jeans,5,53.05,19.1,214.57,41.29,Online
O000129,2025-05-22,West,Clothing,Jeans,3,11.09,19.0,26.95,4.73,Online
O000130,2024-08-04,West,Clothing,Jeans,10,70.99,9.8,640.04,138.57,Store
O000131,2025-01-01,West,Electronics,Headphones,5,6.86,8.9,31.26,6.92,Store
O000132,2023-08-12,South,Grocery,Milk,6,86.09,22.6,399.88,95.64,Online
O000133,2024-03-14,North,Grocery,Milk,8,31.99,15.2,217.1,41.48,Store
O000134,2025-06-15,East,Grocery,Milk,11,22.66,9.3,226.06,41.82,Store
O000135,2024-01-16,South,Beauty,Skincare,9,47.04,0.3,422.29,112.76,Online
O000136,2024-11-19,West,Clothing,Jeans,10,99.29,13.0,863.77,227.43,Store
O000137,2025-11-01,South,Electronics,Headphones,3,51.7,9.1,140.97,43.21,Store
O000138,2025-04-15,South,Home,Cookware,1,22.64,19.3,18.26,2.97,Store
O000139,2025-09-26,North,Home,Cookware,15,17.7,14.2,227.69,42.54,Store
O000140,2024-11-06,North,Electronics,Headphones,7,26.91,19.0,152.53,34.89,Store
O000141,2024-10-05,North,Clothing,Jeans,5,5.0,10.8,22.3,3.21,Store
O000142,2023-11-17,North,Grocery,Milk,6,77.55,5.3,440.82,93.72,Online
O000143,2024-09-13,South,Electronics,Headphones,13,75.54,11.6,867.81,242.36,Store
O000144,2024-10-01,West,Clothing,Jeans,15,37.46,7.0,522.55,104.0,Online
O000145,2025-09-18,West,Electronics,Headphones,12,30.09,4.3,345.62,47.54,Online
O000146,2023-06-14,South,Grocery,Milk,1,30.18,17.5,24.91,5.66,Store
O000147,2025-03-05,North,Home,Cookware,15,80.44,19.7,969.21,180.53,Store
O000148,2023-08-23,East,Electronics,Headphones,7,12.61,13.2,76.63,15.92,Online
O000149,2025-02-15,West,Beauty,Skincare,10,26.73,21.9,208.81,59.01,Wholesale
O000150,2024-07-02,East,Grocery,Milk,15,51.24,8.1,706.3,173.86,Store
O000151,2023-10-25,East,Electronics,Headphones,6,19.26,22.6,89.42,15.7,Store
O000152,2024-12-14,North,Grocery,Milk,1,35.78,1.8,35.15,9.14,Store
O000153,2024-06-02,East,Clothing,Jeans,13,19.5,0.9,251.25,39.19,Store
O000154,2025-11-18,East,Clothing,Jeans,15,48.51,4.2,697.24,117.77,Store
O000155,2023-12-18,North,Clothing,Jeans,9,26.98,4.9,231.0,53.21,Store
O000156,2025-09-15,West,Grocery,Milk,11,42.36,10.0,419.57,80.58,Online
O000157,2024-12-17,North,Home,Cookware,12,46.8,18.2,459.36,107.33,Wholesale
O000158,2024-06-24,North,Grocery,Milk,13,37.4,19.3,392.22,85.04,Wholesale
O000159,2025-03-10,North,Home,Cookware,11,34.62,0.4,379.42,114.1,Wholesale
O000160,2023-04-16,East,Electronics,Headphones,13,52.76,12.1,602.87,101.94,Store
O000161,2025-08-09,South,Home,Cookware,15,48.49,8.2,667.44,113.9,Store
O000162,2023-09-19,West,Electronics,Headphones,2,20.51,6.5,38.35,12.22,Store
O000163,2024-12-14,South,Home,Cookware,10,94.03,16.8,782.05,134.86,Online
O000164,2025-12-04,South,Electronics,Headphones,3,27.83,15.3,70.7,16.04,Online
O000165,2023-07-07,South,Home,Cookware,2,60.33,12.8,105.25,33.38,Store
O000166,2024-11-18,North,Electronics,Headphones,7,23.89,5.1,158.76,20.19,Online
O000167,2024-07-12,South,Clothing,Jeans,9,43.29,5.9,366.76,85.89,Wholesale
O000168,2024-05-15,West,Electronics,Headphones,13,14.32,6.7,173.63,50.1,Online
O000169,2025-08-08,West,Electronics,Headphones,10,13.15,3.7,126.59,17.2,Online
O000170,2023-12-29,South,Grocery,Milk,13,38.38,4.4,476.83,149.56,Online
O000171,2023-07-18,South,Electronics,Headphones,6,120.49,24.4,546.44,96.26,Online
O000172,2023-02-27,North,Beauty,Skincare,11,43.77,24.8,362.01,59.13,Online
O000173,2025-07-10,East,Home,Cookware,14,58.54,11.4,725.87,126.77,Online
O000174,2023-11-08,West,Clothing,Jeans,11,22.46,9.6,223.37,58.59,Store
O000175,2023-03-14,South,Electronics,Headphones,10,57.61,1.9,565.03,93.44,Store
O000176,2024-05-09,North,Electronics,Headphones,15,54.93,11.6,728.29,222.02,Store
O000177,2025-08-19,East,Home,Cookware,15,47.21,22.2,550.88,131.71,Wholesale
O000178,2023-06-13,East,Home,Cookware,12,57.3,5.7,648.72,176.67,Store
O000179,2024-12-02,East,Electronics,Headphones,11,44.59,15.1,416.4,81.48,Store
O000180,2025-01-10,South,Home,Cookware,2,29.27,21.6,45.88,9.07,Online
O000181,2024-10-03,North,Home,Cookware,14,67.89,10.7,849.08,169.66,Wholesale
O000182,2023-02-17,East,Home,Cookware,11,84.85,0.2,931.57,206.5,Online
O000183,2024-11-05,North,Electronics,Headphones,8,37.07,8.9,270.03,83.72,Online
O000184,2024-01-20,West,Clothing,Jeans,11,31.68,9.4,315.6,52.31,Store
O000185,2025-08-08,West,Grocery,Milk,12,40.21,14.4,413.11,79.84,Store
O000186,2024-11-23,West,Electronics,Headphones,14,48.37,20.5,538.06,71.69,Store
O000187,2025-02-05,East,Beauty,Skincare,15,84.0,2.2,1232.19,304.81,Online
O000188,2023-06-19,West,Grocery,Milk,7,61.68,5.6,407.76,75.33,Online
O000189,2023-03-06,West,Home,Cookware,2,25.43,6.7,47.44,14.78,Store
O000190,2023-08-30,West,Home,Cookware,4,12.3,13.0,42.78,9.94,Wholesale
O000191,2024-10-19,West,Electronics,Headphones,13,39.38,19.1,414.34,107.65,Store
O000192,2025-12-03,South,Home,Cookware,15,32.72,5.0,466.17,94.17,Online
O000193,2024-02-17,North,Home,Cookware,15,70.87,1.5,1046.71,322.26,Store
O000194,2025-05-18,West,Home,Cookware,9,42.04,1.1,374.35,103.3,Wholesale
O000195,2024-03-05,South,Home,Cookware,1,24.83,7.0,23.09,5.67,Store
O000196,2025-07-09,South,Home,Cookware,12,27.38,2.6,319.91,64.63,Store
O000197,2025-09-18,East,Clothing,Jeans,13,73.75,16.7,798.22,191.15,Wholesale
O000198,2023-11-07,South,Electronics,Headphones,6,52.54,11.7,278.4,64.4,Store
O000199,2024-09-14,South,Clothing,Jeans,3,46.46,6.4,130.41,26.35,Wholesale
O000200,2025-09-18,North,Beauty,Skincare,8,24.79,20.2,158.23,49.49,Online
O000201,2023-09-22,South,Beauty,Skincare,2,7.54,14.2,12.93,3.21,Online
O000202,2024-05-11,East,Clothing,Jeans,1,72.83,20.5,57.91,12.85,Store
O000203,2025-07-01,North,Beauty,Skincare,12,13.82,23.7,126.48,25.49,Store
O000204,2023-05-17,West,Electronics,Headphones,4,46.91,21.0,148.27,46.4,Store
O000205,2023-12-18,East,Beauty,Skincare,1,26.15,12.3,22.93,4.03,Online
O000206,2023-01-19,South,Grocery,Milk,14,27.81,11.7,343.96,42.57,Store
O000207,2023-07-29,North,Grocery,Milk,2,22.49,23.2,34.54,4.35,Store
O000208,2023-01-18,South,Clothing,Jeans,5,24.91,3.3,120.46,20.37,Online
O000209,2025-11-22,East,Grocery,Milk,15,59.32,1.6,875.39,112.45,Store
O000210,2023-08-21,North,Grocery,Milk,9,41.24,18.6,302.15,55.88,Store
O000211,2024-07-12,South,Home,Cookware,1,68.45,19.8,54.93,11.48,Store
O000212,2024-09-24,North,Grocery,Milk,3,49.8,5.9,140.58,42.81,Store
O000213,2024-12-22,South,Electronics,Headphones,7,80.46,14.3,482.92,108.44,Online
O000214,2024-04-04,East,Grocery,Milk,12,86.33,22.0,807.77,198.8,Online
O000215,2023-01-28,West,Grocery,Milk,12,78.49,3.5,909.07,168.0,Store
O000216,2025-07-10,South,Home,Cookware,14,49.57,16.1,581.98,122.39,Store
O000217,2024-05-21,South,Clothing,Jeans,13,70.03,19.1,736.25,182.25,Online
O000218,2023-02-01,East,Electronics,Headphones,9,24.12,19.3,175.1,46.94,Store
O000219,2025-01-12,East,Home,Cookware,4,33.94,3.8,130.67,30.0,Wholesale
O000220,2024-03-11,South,Home,Cookware,2,25.32,6.6,47.29,7.69,Store
O000221,2023-08-18,South,Clothing,Jeans,2,20.76,16.7,34.59,9.62,Store
O000222,2024-11-13,West,Home,Cookware,3,28.57,22.9,66.11,19.15,Store
O000223,2025-10-14,South,Beauty,Skincare,11,30.72,5.8,318.39,70.77,Online
O000224,2025-12-29,West,Grocery,Milk,10,43.17,17.6,355.84,61.66,Online
O000225,2024-12-27,South,Home,Cookware,14,25.47,5.0,338.66,89.33,Wholesale
O000226,2024-10-07,North,Electronics,Headphones,4,25.29,6.3,94.81,13.47,Store
O000227,2025-01-08,West,Clothing,Jeans,8,46.51,5.6,351.26,92.99,Store
O000228,2023-02-17,West,Grocery,Milk,11,42.09,5.3,438.49,54.65,Wholesale
O000229,2023-01-01,East,Electronics,Headphones,14,27.72,14.9,330.35,70.36,Store
O000230,2024-09-28,West,Grocery,Milk,4,23.27,5.2,88.25,23.32,Online
O000231,2024-05-30,East,Electronics,Headphones,1,31.77,12.0,27.97,8.03,Store
O000232,2024-02-27,North,Electronics,Headphones,11,21.72,8.1,219.47,38.4,Store
O000233,2024-10-21,North,Electronics,Headphones,10,36.54,8.5,334.34,101.92,Online
O000234,2024-08-25,West,Grocery,Milk,6,22.57,12.0,119.17,26.89,Wholesale
O000235,2024-07-12,South,Beauty,Skincare,13,60.72,13.0,686.64,150.75,Online
O000236,2023-02-20,West,Beauty,Skincare,1,36.67,17.8,30.13,9.3,Online
O000237,2023-01-29,West,Grocery,Milk,9,42.6,9.7,346.28,95.18,Wholesale
O000238,2023-08-10,West,Grocery,Milk,8,48.29,22.4,299.96,37.51,Store
O000239,2023-10-18,North,Grocery,Milk,5,39.28,17.8,161.48,47.29,Online
O000240,2023-03-30,East,Electronics,Headphones,3,54.31,19.7,130.86,32.33,Online
O000241,2024-12-01,South,Grocery,Milk,6,73.6,23.0,340.14,58.89,Wholesale
O000242,2025-12-18,South,Electronics,Headphones,7,10.66,5.6,70.47,12.49,Store
O000243,2024-02-22,West,Grocery,Milk,4,24.91,3.5,96.11,26.15,Store
O000244,2023-04-22,South,Home,Cookware,15,75.01,24.8,846.56,116.41,Store
O000245,2025-04-10,North,Beauty,Skincare,7,29.42,5.8,194.09,52.94,Store
O000246,2025-05-19,South,Grocery,Milk,4,73.75,6.1,277.14,61.94,Online
O000247,2023-01-29,South,Home,Cookware,13,73.67,24.0,727.54,136.28,Store
O000248,2025-09-28,North,Beauty,Skincare,11,84.28,10.7,827.64,250.76,Store
O000249,2025-12-24,North,Electronics,Headphones,11,45.54,11.0,445.91,141.98,Online
O000250,2023-11-12,South,Home,Cookware,1,33.39,4.4,31.94,9.66,Online
O000251,2025-06-17,East,Clothing,Jeans,8,69.02,8.9,502.91,63.88,Store
O000252,2025-02-07,South,Electronics,Headphones,2,34.33,23.7,52.4,15.99,Store
O000253,2025-04-01,West,Grocery,Milk,8,68.66,13.9,472.86,119.24,Online
O000254,2023-02-01,South,Electronics,Headphones,15,72.88,6.3,1023.92,312.71,Online
O000255,2023-05-14,North,Grocery,Milk,7,28.16,21.6,154.5,27.3,Online
O000256,2025-09-05,West,Beauty,Skincare,11,34.27,23.6,287.92,62.1,Store
O000257,2025-06-20,West,Electronics,Headphones,11,24.9,15.8,230.57,68.51,Online
O000258,2023-02-05,East,Home,Cookware,14,21.5,17.5,248.3,35.07,Online
O000259,2025-09-04,North,Electronics,Headphones,3,53.94,12.5,141.52,35.4,Wholesale
O000260,2025-06-06,North,Electronics,Headphones,5,35.57,11.8,156.83,40.66,Online
O000261,2024-12-23,South,Grocery,Milk,11,66.87,7.4,681.42,96.16,Store
O000262,2025-04-24,South,Grocery,Milk,7,20.41,4.3,136.73,21.54,Wholesale
O000263,2023-02-05,West,Home,Cookware,8,50.22,8.8,366.42,60.35,Wholesale
O000264,2024-01-01,East,Grocery,Milk,15,57.23,13.9,738.81,104.39,Online
O000265,2024-04-09,West,Grocery,Milk,8,121.92,12.7,851.52,208.67,Online
O000266,2025-03-09,West,Electronics,Headphones,11,12.05,15.2,112.39,27.77,Store
O000267,2023-12-04,West,Grocery,Milk,11,15.6,12.1,150.82,28.97,Store
O000268,2025-09-18,South,Grocery,Milk,5,53.88,22.3,209.41,33.85,Online
O000269,2024-02-14,South,Grocery,Milk,3,32.37,4.5,92.7,15.83,Online
O000270,2023-02-08,North,Clothing,Jeans,15,45.3,20.9,537.47,132.94,Store
O000271,2024-04-12,South,Electronics,Headphones,1,53.86,15.4,45.57,7.43,Wholesale
O000272,2024-11-02,West,Home,Cookware,9,138.15,21.2,979.25,295.52,Store
O000273,2024-10-10,North,Grocery,Milk,11,45.21,18.3,406.53,63.05,Store
O000274,2025-04-24,South,Clothing,Jeans,4,12.88,10.9,45.9,12.11,Store
O000275,2024-10-08,East,Grocery,Milk,13,56.14,14.1,626.83,158.24,Store
O000276,2024-04-09,East,Clothing,Jeans,11,47.68,2.8,509.78,85.25,Wholesale
O000277,2023-02-09,West,Clothing,Jeans,15,32.48,10.7,435.2,69.03,Store
O000278,2024-10-30,North,Home,Cookware,9,19.71,12.2,155.68,46.7,Store
O000279,2023-05-26,North,Home,Cookware,9,47.15,18.9,344.01,52.96,Online
O000280,2025-01-25,West,Grocery,Milk,10,46.3,24.9,347.85,108.59,Store
O000281,2023-03-27,East,Grocery,Milk,13,33.11,16.3,360.27,88.14,Online
O000282,2024-01-25,West,Grocery,Milk,10,52.65,8.1,483.99,72.08,Store
O000283,2023-05-21,North,Electronics,Headphones,5,127.4,5.9,599.42,145.46,Store
O000284,2023-03-22,East,Grocery,Milk,13,17.72,16.5,192.32,25.19,Store
O000285,2025-10-07,West,Clothing,Jeans,5,37.74,9.4,170.93,21.17,Store
O000286,2024-09-04,South,Home,Cookware,2,46.17,23.7,70.41,11.94,Online
O000287,2023-02-28,South,Home,Cookware,2,17.58,22.0,27.43,8.03,Online
O000288,2023-08-08,East,Grocery,Milk,10,40.53,18.4,330.67,91.48,Store
O000289,2024-12-25,North,Electronics,Headphones,9,78.84,9.0,645.41,95.42,Store
O000290,2023-05-24,South,Grocery,Milk,6,13.73,6.1,77.38,16.9,Store
O000291,2023-12-08,North,Grocery,Milk,11,33.34,8.2,336.59,47.76,Store
O000292,2024-04-12,West,Grocery,Milk,9,18.98,16.0,143.55,21.73,Online
O000293,2024-03-02,East,Grocery,Milk,5,27.88,15.9,117.24,34.67,Store
O000294,2024-02-11,South,Home,Cookware,14,44.83,22.3,487.57,99.16,Store
O000295,2025-02-27,West,Electronics,Headphones,9,49.85,22.2,348.95,103.16,Online
O000296,2023-08-25,North,Clothing,Jeans,8,178.54,21.2,1125.67,286.22,Wholesale
O000297,2023-06-07,North,Home,Cookware,8,17.88,8.9,130.28,24.63,Wholesale
O000298,2024-03-24,East,Home,Cookware,9,11.66,9.1,95.41,28.37,Online
O000299,2025-08-31,North,Home,Cookware,5,26.22,24.3,99.23,25.0,Online
O000300,2024-06-20,West,Home,Cookware,11,26.01,14.7,243.97,51.51,Online
O000301,2025-06-14,East,Clothing,Jeans,7,17.06,1.5,117.64,26.96,Online
O000302,2024-05-10,North,Grocery,Milk,4,52.87,10.7,188.78,45.31,Store
O000303,2024-06-05,West,Grocery,Milk,12,51.08,10.7,547.35,75.14,Store
O000304,2025-03-05,South,Clothing,Jeans,11,19.13,4.4,201.25,55.91,Store
O000305,2023-08-18,West,Electronics,Headphones,2,66.29,5.8,124.89,35.0,Online
O000306,2023-07-11,North,Grocery,Milk,5,50.13,11.8,221.18,57.88,Online
O000307,2023-03-20,North,Clothing,Jeans,5,47.4,21.0,187.3,32.45,Store
O000308,2025-06-27,North,Grocery,Milk,1,33.1,17.6,27.29,6.16,Wholesale
O000309,2023-12-14,South,Clothing,Jeans,15,26.11,23.6,299.31,89.51,Store
O000310,2025-08-11,West,Grocery,Milk,9,26.8,17.2,199.74,34.83,Store
O000311,2025-09-22,West,Home,Cookware,4,129.26,6.9,481.33,147.36,Online
O000312,2024-08-03,West,Clothing,Jeans,13,69.78,7.8,836.01,180.95,Online
O000313,2024-01-21,South,Electronics,Headphones,2,80.78,11.0,143.81,31.31,Online
O000314,2025-10-02,East,Grocery,Milk,7,12.91,11.7,79.78,11.37,Online
O000315,2023-03-07,North,Grocery,Milk,12,19.11,2.4,223.75,39.04,Store
O000316,2024-12-29,West,Clothing,Jeans,1,12.04,22.9,9.29,1.18,Online
O000317,2023-09-08,North,Clothing,Jeans,2,12.26,8.2,22.52,3.65,Online
